id,Title,Authors,Source Title,Year,exclude,reason,lat,lon,elevation,city,country,human.population,human.density,GI type,GI.control,ecological.measure,intentional.species,intentional.abd,abiotic.measure,distance.greenspace,site.number,area,perimeter,height
523,Ecosystem mapping for the implementation of the European Biodiversity Strategy at the national level: The case of Italy,"Blasi, Carlo; Capotorti, Giulia; Orti, Marta Maria Alos; Anzellotti, Ilaria; Attorre, Fabio; Azzella, Mattia Martin; Carli, Emanuela; Copiz, Riccardo; Garfi, Vittorio; Manes, Fausto; Marando, Federica; Marchetti, Marco; Mollo, Barbara; Zavattero, Laura",ENVIRONMENTAL SCIENCE & POLICY,2017,,,,,,,,,,,,,,,,,,,,
524,Urban green infrastructure in Europe: Is greenspace planning and policy compliant,"Davies, Clive; Lafortezza, Raffaele",LAND USE POLICY,2017,,,,,,,,,,,,,,,,,,,,
525,A bottom-up approach to map land covers as potential green infrastructure hubs for human well-being in rural settings: A case study from Sweden,"Elbakidze, Marine; Angelstam, Per; Yamelynets, Taras; Dawson, Lucas; Gebrehiwot, Mersha; Stryamets, Nataliya; Johansson, Karl-Erik; Garrido, Pablo; Naumov, Vladimir; Manton, Michael",LANDSCAPE AND URBAN PLANNING,2017,,,,,,,,,,,,,,,,,,,,
526,Managing urban stormwater for urban sustainability: Barriers and policy solutions for green infrastructure application,"Dhakal, Krishna P.; Chevalier, Lizette R.",JOURNAL OF ENVIRONMENTAL MANAGEMENT,2017,,,,,,,,,,,,,,,,,,,,
527,Fostering incidental experiences of nature through green infrastructure planning,"Beery, Thomas H.; Raymond, Christopher M.; Kytta, Marketta; Olafsson, Anton Stahl; Plieninger, Tobias; Sandberg, Mattias; Stenseke, Marie; Tengo, Maria; Jonsson, K. Ingemar",AMBIO,2017,,,,,,,,,,,,,,,,,,,,
528,"Stormwater wetlands for the enhancement of environmental ecosystem services: case studies for two retrofit wetlands in Brisbane, Australia","Greenway, Margaret",JOURNAL OF CLEANER PRODUCTION,2017,,,,,,,,,,,,,,,,,,,,
529,"Progress made in managing and valuing ecosystem services: a horizon scan of gaps in research, management and governance","Shackleton, Ross T.; Angelstam, Per; van der Waal, Benjamin; Elbakidze, Marine",ECOSYSTEM SERVICES,2017,,,,,,,,,,,,,,,,,,,,
530,Achieving the national development agenda and the Sustainable Development Goals (SDGs) through investment in ecological infrastructure: A case study of South Africa,"Cumming, Tracey L.; Shackleton, Ross T.; Foerster, Johannes; Dini, John; Khan, Ahmed; Gumula, Mpho; Kubiszewski, Ida",ECOSYSTEM SERVICES,2017,,,,,,,,,,,,,,,,,,,,
531,Evaluating a light-louver system for behavioural guidance of age-0 white sturgeon,"Ford, M. I.; Elvidge, C. K.; Baker, D.; Pratt, T. C.; Smokorowski, K. E.; Patrick, P.; Sills, M.; Cooke, S. J.",RIVER RESEARCH AND APPLICATIONS,2017,,,,,,,,,,,,,,,,,,,,
532,Epibenthic and mobile species colonisation of a geotextile artificial surf reef on the south coast of England,"Herbert, Roger J. H.; Collins, Ken; Mallinson, Jenny; Hall, Alice E.; Pegg, Josephine; Rosso, Kathryn; Clarke, Leo; Clements, Tom",PLOS ONE,2017,,,,,,,,,,,,,,,,,,,,
533,Trees and Streets as Drivers of Urban Stormwater Nutrient Pollution,"Janke, Benjamin D.; Finlay, Jacques C.; Hobbie, Sarah E.",ENVIRONMENTAL SCIENCE & TECHNOLOGY,2017,,,,,,,,,,,,,,,,,,,,
534,Exploring urban agriculture as a component of multifunctional green infrastructure: Application of figure-ground plans as a spatial analysis tool,"Toth, Attila; Timpe, Axel",MORAVIAN GEOGRAPHICAL REPORTS,2017,,,,,,,,,,,,,,,,,,,,
535,"Effects of urbanization intensity on forest structural-taxonomic attributes, landscape patterns and their associations in Changchun, Northeast China: Implications for urban green infrastructure planning","Zhang, Dan; Wang, Wenjie; Zheng, Haifeng; Ren, Zhibin; Zhai, Chang; Tang, Ze; Shen, Guoqiang; He, Xingyuan",ECOLOGICAL INDICATORS,2017,,,,,,,,,,,,,,,,,,,,
536,Ecosystem services of collectively managed urban gardens: Exploring factors affecting synergies and trade-offs at the site level,"Dennis, Matthew; James, Philip",ECOSYSTEM SERVICES,2017,,,,,,,,,,,,,,,,,,,,
537,Estimating the cooling capacity of green infrastructures to support urban planning,"Zardo, L.; Geneletti, D.; Perez-Soba, M.; Van Eupen, M.",ECOSYSTEM SERVICES,2017,,,,,,,,,,,,,,,,,,,,
538,Mapping and Assessment of PM10 and O-3 Removal by Woody Vegetation at Urban and Regional Level,"Fusaro, Lina; Marando, Federica; Sebastiani, Alessandro; Capotorti, Giulia; Blasi, Carlo; Copiz, Riccardo; Congedo, Luca; Munafo, Michele; Ciancarella, Luisella; Manes, Fausto",REMOTE SENSING,2017,,,,,,,,,,,,,,,,,,,,
539,"Distributing companies' waste heat: the dynamic construction of a green energy network, between flow and infrastructure","Hampikian, Zelia",DEVELOPPEMENT DURABLE & TERRITOIRES,2017,,,,,,,,,,,,,,,,,,,,
540,Sustainable Land-Use Planning to Improve the Coastal Resilience of the Social-Ecological Landscape,"Kim, Min; You, Soojin; Chon, Jinhyung; Lee, Junga",SUSTAINABILITY,2017,,,,,,,,,,,,,,,,,,,,
541,Operationalizing the ecosystems approach: Assessing the environmental impact of major infrastructure development,"Zawadzka, Joanna E.; Corstanje, Ron; Fookes, Jacqueline; Nichols, Jonathan; Harris, Jim",ECOLOGICAL INDICATORS,2017,,,,,,,,,,,,,,,,,,,,
542,Using a hybrid of green chemistry and industrial ecology to make chemical production greener,"Hao, Qiao; Tian, Jinping; Li, Xing; Chen, Lujun",RESOURCES CONSERVATION AND RECYCLING,2017,,,,,,,,,,,,,,,,,,,,
543,Exploring Rooftop Rainwater Harvesting Potential for Food Production in Urban Areas,"Lupia, Flavio; Baiocchi, Valerio; Lelo, Keti; Pulighe, Giuseppe",AGRICULTURE-BASEL,2017,,,,,,,,,,,,,,,,,,,,
544,Predictive Power of Clean Bed Filtration Theory for Fecal Indicator Bacteria Removal in Stormwater Biofilters,"Parker, Emily A.; Rippy, Megan A.; Mehring, Andrew S.; Winfrey, Brandon K.; Ambrose, Richard F.; Levin, Lisa A.; Grant, Stanley B.",ENVIRONMENTAL SCIENCE & TECHNOLOGY,2017,,,,,,,,,,,,,,,,,,,,
545,The value of green walls to urban biodiversity,"Collins, Rebecca; Schaafsma, Marije; Hudson, Malcolm D.",LAND USE POLICY,2017,,,,,,,,,,,,,,,,,,,,
546,Nematode Community Response to Green Infrastructure Design in a Semiarid City,"Pavao-Zuckerman, Mitchell A.; Sookhdeo, Christine",JOURNAL OF ENVIRONMENTAL QUALITY,2017,,,,,,,,,,,,,,,,,,,,
547,"Specific Features of Parks and Their Impact on Regulation and Cultural Ecosystem Services Provision in Warsaw, Poland","Giedych, Renata; Maksymiuk, Gabriela",SUSTAINABILITY,2017,,,,,,,,,,,,,,,,,,,,
548,"Air contaminants and litter fall decomposition in urban forest areas: The case of Sao Paulo - SP, Brazil","Ferreira, Mauricio Lamano; Ribeiro, Andreza Portella; Albuquerque, Caroline Rodrigues; do Nascimento Lamano Ferreira, Ana Paula; Lopes Figueira, Rubens Cesar; Lafortezza, Raffaele",ENVIRONMENTAL RESEARCH,2017,,,,,,,,,,,,,,,,,,,,
549,Both spatiotemporal connectivity and habitat quality limit the immigration of forest plants into wooded corridors,"Paal, Taavi; Kuett, Laura; Lohmus, Kertu; Liira, Jaan",PLANT ECOLOGY,2017,,,,,,,,,,,,,,,,,,,,
550,"Seasonal dynamics of common ground beetles (Coleoptera: Carabidae) along an urbanisation gradient near Soro, Zealand, Denmark","Elek, Zoltan; Howe, Andy G.; Enggaard, Mattias K.; Lovei, Gabor L.",ENTOMOLOGICA FENNICA,2017,,,,,,,,,,,,,,,,,,,,
551,A GIS-based mapping methodology of urban green roof ecosystem services applied to a Central European city,"Gruwald, Laura; Heusinger, Jannik; Weber, Stephan",URBAN FORESTRY & URBAN GREENING,2017,,,,,,,,,,,,,,,,,,,,
552,Common economic oversights in green infrastructure valuation,"Whitehouse, Alexander",LANDSCAPE RESEARCH,2017,,,,,,,,,,,,,,,,,,,,
553,Implications of Applying the Green Infrastructure Concept in Landscape Planning for Ecosystem Services in Peri-Urban Areas: An Expert Survey and Case Study,"Albert, Christian; Von Haaren, Christina",PLANNING PRACTICE AND RESEARCH,2017,,,,,,,,,,,,,,,,,,,,
554,Equitable distribution of green stormwater infrastructure: a capacity-based framework for implementation in disadvantaged communities,"Mandarano, Lynn; Meenar, Mahbubur",LOCAL ENVIRONMENT,2017,,,,,,,,,,,,,,,,,,,,
555,Urban Growth Boundaries of the Hangzhou Metropolitan Area Based on Ecosystem Service,"Han, Haoying; Ma, Qiwei; Li, Yonghua",INTERNATIONAL REVIEW FOR SPATIAL PLANNING AND SUSTAINABLE DEVELOPMENT,2017,,,,,,,,,,,,,,,,,,,,
556,A Novel Color Analysis Technique for Differentiation of Mix Grass Cover under Shade and without Shade in Green Infrastructures,"Gadi, Vinay Kumar; Manogaran, Indu Priya; Garg, Ankit; Berretta, Christian; Sreedeep, Sekharan",ADVANCES IN CIVIL ENGINEERING MATERIALS,2017,,,,,,,,,,,,,,,,,,,,
557,"Urban green space dynamics and socio-environmental inequity: multi-resolution and spatiotemporal data analysis of Kumasi, Ghana","Nero, Bertrand Festus",INTERNATIONAL JOURNAL OF REMOTE SENSING,2017,,,,,,,,,,,,,,,,,,,,
558,Land use change analysis in the urban region of Milan,"Salata, Stefano",MANAGEMENT OF ENVIRONMENTAL QUALITY,2017,,,,,,,,,,,,,,,,,,,,
559,Ecosystems as infrastructure,"da Silva, Jose Maria Cardoso; Wheeler, Emily",PERSPECTIVES IN ECOLOGY AND CONSERVATION,2017,,,,,,,,,,,,,,,,,,,,
560,Evaluation of a dairy agri-environmental programme for restoring woody green infrastructure,"McWilliam, Wendy; Fukuda, Yuki; Moller, Henrik; Smith, Des",INTERNATIONAL JOURNAL OF AGRICULTURAL SUSTAINABILITY,2017,,,,,,,,,,,,,,,,,,,,
561,"Spatially explicit urban green indicators for characterizing vegetation cover and public green space proximity: a case study on Brussels, Belgium","Van de Voorde, Tim",INTERNATIONAL JOURNAL OF DIGITAL EARTH,2017,,,,,,,,,,,,,,,,,,,,
562,Governing green stormwater infrastructure: the Philadelphia experience,"Fitzgerald, Joan; Laufer, Joshua",LOCAL ENVIRONMENT,2017,,,,,,,,,,,,,,,,,,,,
563,Spatially dependent biotic and abiotic factors drive survivorship and physical structure of green roof vegetation,"Aloisio, Jason M.; Palmer, Matthew I.; Giampieri, Mario A.; Tuininga, Amy R.; Lewis, James D.",ECOLOGICAL APPLICATIONS,2017,,,,,,,,,,,,,,,,,,,,
564,Integrated research on land-use changes in the face of urban transformations - An analytic framework for further studies,"Banzhaf, Ellen; Kabisch, Sigrun; Knapp, Sonja; Rink, Dieter; Wolff, Manuel; Kindler, Annegret",LAND USE POLICY,2017,,,,,,,,,,,,,,,,,,,,
565,A DIVERSITY-BASED APPROACH TO THE SPATIAL DEVELOPMENT OF SOCIO-ECOLOGICAL SYSTEMS,"Petrisor, Alexandru-Ionut",URBANISM ARCHITECTURE CONSTRUCTIONS,2017,,,,,,,,,,,,,,,,,,,,
566,Problems of local transposition of ecological corridors. Analysis applied to Tours area's three municipalities,"Debray, Adele",DEVELOPPEMENT DURABLE & TERRITOIRES,2016,,,,,,,,,,,,,,,,,,,,
567,Greening potential of derelict and vacant lands in urban areas,"Sanches, Patricia Mara; Mesquita Pellegrino, Paulo Renato",URBAN FORESTRY & URBAN GREENING,2016,,,,,,,,,,,,,,,,,,,,
568,Green Economy Modelling of Ecosystem Services along the Road to Dawei,"Bassi, Andrea M.; Gallagher, Louise A.; Helsingen, Hanna",ENVIRONMENTS,2016,,,,,,,,,,,,,,,,,,,,
569,What about biodiversity? Redefining urban sustainable management to incorporate endemic fauna with particular reference to Australia,"Burgin, Shelley",URBAN ECOSYSTEMS,2016,,,,,,,,,,,,,,,,,,,,
570,"Change in Environmental Benefits of Urban Land Use and Its Drivers in Chinese Cities, 2000-2010","Song, Xiaoqing; Chang, Kang-tsung; Yang, Liang; Scheffran, Juergen",INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,2016,,,,,,,,,,,,,,,,,,,,
571,Developing green infrastructure 'thinking': devising and applying an interactive group-based methodology for practitioners,"Lennon, Mick; Scott, Mark; Collier, Marcus; Foley, Karen",JOURNAL OF ENVIRONMENTAL PLANNING AND MANAGEMENT,2016,,,,,,,,,,,,,,,,,,,,
572,Sustainability and Chinese Urban Settlements: Extending the Metabolism Model of Emergy Evaluation,"Gao, Lijie; Cui, Shenghui; Yang, Dewei; Tang, Lina; Vause, Jonathan; Xiao, Lishan; Li, Xuanqi; Shi, Longyu",SUSTAINABILITY,2016,,,,,,,,,,,,,,,,,,,,
573,Remote sensing of the decrease of juniper woodlands in the mountains of Southwestern Saudi Arabia-reasons and consequences,"Pellikka, Petri; Alshaikh, Amal Yahya",ARABIAN JOURNAL OF GEOSCIENCES,2016,,,,,,,,,,,,,,,,,,,,
574,Wet Grasslands as a Green Infrastructure for Ecological Sustainability: Wader Conservation in Southern Sweden as a Case Study,"Manton, Michael; Angelstam, Per; Milberg, Per; Elbakidze, Marine",SUSTAINABILITY,2016,,,,,,,,,,,,,,,,,,,,
575,"THREE BAYS ESTUARY (BARNSTABLE, CAPE COD) WATERSHED RESTORATION PLAN: A GREEN INFRASTRUCTURE APPROACH","Horsley, Scott; Perry, Erin; Counsell, Lindsey",JOURNAL OF GREEN BUILDING,2016,,,,,,,,,,,,,,,,,,,,
576,"Are People Responsive to a More Sustainable, Decentralized, and User-Driven Management of Urban Metabolism?","Chelleri, Lorenzo; Kua, Harn Wei; Rodriguez Sanchez, Juan Pablo; Nahiduzzaman, Kh Md; Thondhlana, Gladman",SUSTAINABILITY,2016,,,,,,,,,,,,,,,,,,,,
577,Quantifying Urban Watershed Stressor Gradients and Evaluating How Different Land Cover Datasets Affect Stream Management,"Smucker, Nathan J.; Kuhn, Anne; Charpentier, Michael A.; Cruz-Quinones, Carlos J.; Elonen, Colleen M.; Whorley, Sarah B.; Jicha, Terri M.; Serbst, Jonathan R.; Hill, Brian H.; Wehr, John D.",ENVIRONMENTAL MANAGEMENT,2016,,,,,,,,,,,,,,,,,,,,
578,Urban Flood Risk Reduction by Increasing Green Areas For Adaptation To Climate Change,"Zimmermann, Erik; Bracalenti, Laura; Piacentini, Ruben; Inostroza, Luis","WORLD MULTIDISCIPLINARY CIVIL ENGINEERING-ARCHITECTURE-URBAN PLANNING SYMPOSIUM 2016, WMCAUS 2016",2016,,,,,,,,,,,,,,,,,,,,
579,Biological potential in cities: An estimate from Melbourne,"Croeser, Thami",URBAN FORESTRY & URBAN GREENING,2016,,,,,,,,,,,,,,,,,,,,
580,LANDSCAPE ASSESSMENTS IN BARTIN (TR) VIA GREEN INFRASTRUCTURE APPROACH,"Artar, M.; Gormus, S.; Cengiz, S.",JOURNAL OF ENVIRONMENTAL PROTECTION AND ECOLOGY,2016,,,,,,,,,,,,,,,,,,,,
581,Diverse vegetation in a spa town supports human social benefits of urban birds,"Kucera, Tomas; Kloubcova, Petra; Veseley, Petr",BIODIVERSITY AND CONSERVATION,2015,,,,,,,,,,,,,,,,,,,,
582,"Analysis of Green Infrastructure in Lodz, Poland","Dlugonski, Andrzej; Szumanski, Marek",JOURNAL OF URBAN PLANNING AND DEVELOPMENT,2015,,,,,,,,,,,,,,,,,,,,
583,Growth of the Native Xerophyte Convolvulus cneorum L. on an Extensive Mediterranean Green Roof under Different Substrate Types and Irrigation Regimens,"Tassoula, Lamprini; Papafotiou, Maria; Liakopoulos, Georgios; Kargas, Georgios",HORTSCIENCE,2015,,,,,,,,,,,,,,,,,,,,
584,Optimization of the scheme for natural ecology planning of urban rivers based on ANP (analytic network process) model,"Zhang, Yichuan; Wang, Jiangping",JOURNAL OF ENVIRONMENTAL BIOLOGY,2015,,,,,,,,,,,,,,,,,,,,
585,STORMWATER NATURE POCKETS: A CASE FOR USING GREEN INFRASTRUCTURE TO CREATE ENGAGING CHILDHOOD SPACES,"Cizek, Adrienne; Fox, Andrew",JOURNAL OF GREEN BUILDING,2015,,,,,,,,,,,,,,,,,,,,
586,Cultivating the City: Infrastructures of abun-dance in urban Brazil,"Abelman, Jacques",FUTURE OF FOOD-JOURNAL ON FOOD AGRICULTURE AND SOCIETY,2015,,,,,,,,,,,,,,,,,,,,
587,Urban Development under Climate Change by Green Infrastructure,"Roessler, Stefanie",RAUMFORSCHUNG UND RAUMORDNUNG,2015,,,,,,,,,,,,,,,,,,,,
588,A SIGNIFICANT BUT UNDER-APPRECIATED BENEFIT OF LANDSCAPE ARCHITECTURE: SUPPORTING PEOPLE'S CAPACITY TO PAY ATTENTION,"Sullivan, William C.",LANDSCAPE ARCHITECTURE FRONTIERS,2015,,,,,,,,,,,,,,,,,,,,
589,Encouraging Human Health and Wellness: LID Planning & Design for Co-Benefits,"Wolf, Kathleen L.",LID: IT WORKS IN ALL CLIMATES AND SOILS,2015,,,,,,,,,,,,,,,,,,,,
590,Sustainability,"Chang, Chein-Chi; DiGiovanni, Kimberly; Zhang, Gong; Yang, Xiahua; You, Shao-Hong",WATER ENVIRONMENT RESEARCH,2015,,,,,,,,,,,,,,,,,,,,
591,Sustainability in Infrastructure Asset Management,"Shaw, Gavin; Walters, Rick; Kumar, Arun; Sprigg, Antony",PROCEEDINGS OF THE 7TH WORLD CONGRESS ON ENGINEERING ASSET MANAGEMENT (WCEAM 2012),2015,,,,,,,,,,,,,,,,,,,,
592,DESIGNING FOR ENVIRONMENTAL AND INFRASTRUCTURE SUSTAINABILITY: ONTARIO CASE STUDIES FOR RETROFITS AND NEW DEVELOPMENTS,"Denich, Chris; Zaghal, Ashraf",JOURNAL OF GREEN BUILDING,2014,,,,,,,,,,,,,,,,,,,,
593,Carabid beetles in green infrastructures: the importance of management practices for improving the biodiversity in a metropolitan city,"Do, Yuno; Lineman, Maurice; Joo, Gea-Jae",URBAN ECOSYSTEMS,2014,,,,,,,,,,,,,,,,,,,,
594,"Waste not, want not? Evaluating the urban sustainability implications of centralized versus decentralized wastewater treatment in Tijuana, Mexico","Russell, Rachel",URBAN GEOGRAPHY,2014,,,,,,,,,,,,,,,,,,,,
595,The Equivalency Principle for Discounting the Value of Natural Assets: An Application to an Investment Project in the Basque Coast,"Chiabai, Aline; Galarraga, Ibon; Markandya, Anil; Pascual, Unai",ENVIRONMENTAL & RESOURCE ECONOMICS,2013,,,,,,,,,,,,,,,,,,,,
596,Peoples' Perception Towards Urban Forestry and Institutional Involvement in Metropolitan Cities: A Survey of Lalitpur City in Nepal,"Gurung, Anup; Karki, Rahul; Bista, Rajesh; Oh, Sang-Eun",SMALL-SCALE FORESTRY,2012,,,,,,,,,,,,,,,,,,,,
597,EMPIRICAL APPLICATION OF THE GREEN HOTEL RATING,"Sheu, Her-Jiun; Hu, Jin-Li; Shieh, Hwai-Shuh",ACTUAL PROBLEMS OF ECONOMICS,2012,,,,,,,,,,,,,,,,,,,,
598,"Ecological restoration, social-economic changes and sustainable development in the Three Gorges Reservoir area: A case study in Yunyang, Chongqing Municipality","Qun, Gao; Mao Hanying",INTERNATIONAL JOURNAL OF SUSTAINABLE DEVELOPMENT AND WORLD ECOLOGY,2007,,,,,,,,,,,,,,,,,,,,
599,Erosion control by application of hydroseeding methods along the Egnatia Motorway (Greece),"Katritzidakis, M.; Liapis, A.; Stathakopoulos, I.; Pipinis, E.; Kekis, G.; Ververidou, E.; Sevastou, E.",ECO- AND GROUND BIO-ENGINEERING: THE USE OF VEGETATION TO IMPROVE SLOPE STABILITY,2007,,,,,,,,,,,,,,,,,,,,
600,Changing public port management in the Hamburg-Le Harve range,"van Ham, JC",MARITIME ENGINEERING AND PORTS,1998,,,,,,,,,,,,,,,,,,,,
601,TIMES OF SOWING AND SPACING ON THE PRODUCTION OF LUPINE PHYTOMASS,"BENASSI, AC; ABRAHAO, JTM",PESQUISA AGROPECUARIA BRASILEIRA,1991,,,,,,,,,,,,,,,,,,,,
602,Vertical air temperature gradients under the shade of two contrasting urban tree species during different types of summer days,"Rahman, Mohammad A.; Moser, Astrid; Gold, Anna; Roetzer, Thomas; Pauleit, Stephan",SCIENCE OF THE TOTAL ENVIRONMENT,2018,,,,,,,,,,,,,,,,,,,,
603,Simulating stream response to floodplain connectivity and revegetation from reach to watershed scales: Implications for stream management,"Singh, Nitin K.; Wemple, Beverley C.; Bomblies, Arne; Ricketts, Taylor H.",SCIENCE OF THE TOTAL ENVIRONMENT,2018,,,,,,,,,,,,,,,,,,,,
604,Island topographies to reduce short-circuiting in stormwater detention ponds and treatment wetlands,"Guzman, Celina Balderas; Cohen, Samantha; Xavier, Manoel; Swingle, Tyler; Qiu, Waishan; Nepf, Heidi",ECOLOGICAL ENGINEERING,2018,,,,,,,,,,,,,,,,,,,,
605,Refining flood estimation in urbanized catchments using landscape metrics,"Miller, James D.; Brewer, Tim",LANDSCAPE AND URBAN PLANNING,2018,,,,,,,,,,,,,,,,,,,,
606,"What drives the location choice for water sensitive infrastructure in Melbourne, Australia?","Kuller, Martijn; Bach, Peter M.; Ramirez-Lovering, Diego; Deletic, Ana",LANDSCAPE AND URBAN PLANNING,2018,,,,,,,,,,,,,,,,,,,,
607,"What might 'just green enough' urban development mean in the context of climate change adaptation? The case of urban greenspace planning in Taipei Metropolis, Taiwan","Mahon, Leslie; Shih, Wan-Yu",WORLD DEVELOPMENT,2018,,,,,,,,,,,,,,,,,,,,
608,Exploring eco-aesthetics for urban green infrastructure development and building resilient cities: A theoretical overview,"Haruna, Ayisha Ida; Oppong, Rexford Assasie; Marful, Alexander Boakye",COGENT SOCIAL SCIENCES,2018,,,,,,,,,,,,,,,,,,,,
609,Road induced edge effects on a forest bird community in tropical Asia,"Khamcha, Daphawan; Corlett, Richard T.; Powell, Larkin A.; Savini, Tommaso; Lynam, Antony J.; Gale, George A.",AVIAN RESEARCH,2018,,,,,,,,,,,,,,,,,,,,
610,The interrelationship of green infrastructure and natural capital,"Chenoweth, Jonathan; Anderson, Andrew R.; Kumar, Prashant; Hunt, W. F.; Chimbwandira, Sarah Jane; Moore, Trisha L. C.",LAND USE POLICY,2018,,,,,,,,,,,,,,,,,,,,
611,"Natura 2000 sites, public forests and riparian corridors: The connectivity backbone of forest green infrastructure","de la Fuente, Begona; Mateo-Sanchez, Maria C.; Rodriguez, Gema; Gaston, Aitor; Perez de Ayala, Ramon; Colomina-Perez, Diana; Melero, Maria; Saura, Santiago",LAND USE POLICY,2018,,,,,,,,,,,,,,,,,,,,
